Coordinate,Zone,ZoneName,TileType,Walkable,MajorObstacle,LootRisk,LootValue,EnemySpawn,ExtractionCandidate
"(4,2)",B,북부 정비동,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(5,2)",B,북부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(6,2)",C,북동 무기고,Normal,Yes,구역 경계벽,3-중간,B-보통,허용,아니오
"(7,2)",C,북동 무기고,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(8,2)",C,북동 무기고,Normal,Yes,구역 경계벽,3-중간,B-보통,허용,아니오
"(0,3)",D,서부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(1,3)",D,서부 설비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(2,3)",D,서부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(3,3)",E,중앙 통제구역,DeadEnd,Yes,막다른 고가치 방 / 내부 엄폐벽,5-매우 높음,S-최고,금지(매복 스크립트만),아니오
"(4,3)",E,중앙 통제구역,Normal,Yes,내부 엄폐벽,4-높음,A-높음,허용,아니오
"(5,3)",E,중앙 통제구역,DeadEnd,Yes,막다른 고가치 방 / 내부 엄폐벽,5-매우 높음,S-최고,금지(매복 스크립트만),아니오
"(6,3)",F,동부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(7,3)",F,동부 설비동,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(8,3)",F,동부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(0,4)",D,서부 설비동,Normal,Yes,내부 엄폐벽,2-낮음,C-보통 이하,허용,아니오
"(1,4)",D,서부 설비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(2,4)",D,서부 설비동,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(3,4)",E,중앙 통제구역,Normal,Yes,내부 엄폐벽,4-높음,A-높음,허용,아니오
"(4,4)",E,중앙 통제구역,Normal,Yes,내부 엄폐벽,5-매우 높음,S-최고,스크립트 전용(보스/엘리트),아니오
"(5,4)",E,중앙 통제구역,Normal,Yes,내부 엄폐벽,4-높음,A-높음,허용,아니오
"(6,4)",F,동부 설비동,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(7,4)",F,동부 설비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(8,4)",F,동부 설비동,Normal,Yes,내부 엄폐벽,2-낮음,C-보통 이하,허용,아니오
"(0,5)",D,서부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(1,5)",D,서부 설비동,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(2,5)",D,서부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(3,5)",E,중앙 통제구역,DeadEnd,Yes,막다른 고가치 방 / 내부 엄폐벽,5-매우 높음,S-최고,금지(매복 스크립트만),아니오
"(4,5)",E,중앙 통제구역,Normal,Yes,내부 엄폐벽,4-높음,A-높음,허용,아니오
"(5,5)",E,중앙 통제구역,DeadEnd,Yes,막다른 고가치 방 / 내부 엄폐벽,5-매우 높음,S-최고,금지(매복 스크립트만),아니오
"(6,5)",F,동부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(7,5)",F,동부 설비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(8,5)",F,동부 설비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(0,6)",G,남서 의료·기술창고,Normal,Yes,구역 경계벽,3-중간,B-보통,허용,아니오
"(1,6)",G,남서 의료·기술창고,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(2,6)",G,남서 의료·기술창고,Normal,Yes,구역 경계벽,3-중간,B-보통,허용,아니오
"(3,6)",H,남부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(4,6)",H,남부 정비동,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(5,6)",H,남부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(6,6)",I,남동 보급창,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(7,6)",I,남동 보급창,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(8,6)",I,남동 보급창,Normal (선정 시 Extraction),Yes,구역 경계벽,1-안전,D-낮음,금지,"(0,0) 시작"
"(0,7)",G,남서 의료·기술창고,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(1,7)",G,남서 의료·기술창고,Normal,Yes,내부 엄폐벽,4-높음,A-높음,허용,아니오
"(2,7)",G,남서 의료·기술창고,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(3,7)",H,남부 정비동,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(4,7)",H,남부 정비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(5,7)",H,남부 정비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(6,7)",I,남동 보급창,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(7,7)",I,남동 보급창,Normal,Yes,내부 엄폐벽,1-안전,D-낮음,금지,아니오
"(8,7)",I,남동 보급창,Normal (선정 시 Extraction),Yes,내부 엄폐벽,1-안전,D-낮음,금지,"(0,0) 시작"
"(0,8)",G,남서 의료·기술창고,Normal,Yes,없음,4-높음,A-높음,허용,아니오
"(1,8)",G,남서 의료·기술창고,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(2,8)",G,남서 의료·기술창고,Normal,Yes,구역 경계벽,3-중간,B-보통,허용,아니오
"(3,8)",H,남부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(4,8)",H,남부 정비동,Normal,Yes,내부 엄폐벽,2-낮음,C-보통 이하,허용,아니오
"(5,8)",H,남부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(6,8)",I,남동 보급창,Normal,Yes,구역 경계벽,1-안전,D-낮음,금지,아니오
"(7,8)",I,남동 보급창,Normal,Yes,내부 엄폐벽,1-안전,D-낮음,금지,아니오
"(8,8)",I,남동 보급창,Normal (선정 시 Extraction),Yes,없음,1-안전,D-낮음,금지,"(0,0) 시작"
